arg_1,arg_2,acc
4,32,0.5701
4,31,0.5701
4,30,0.5701
4,29,0.5701
4,28,0.5701
4,27,0.5701
4,26,0.5701
4,25,0.5701
4,24,0.5701
4,23,0.5701
4,22,0.5701
4,21,0.57
4,20,0.5701
4,19,0.5702
4,18,0.5702
4,17,0.5698
4,16,0.5695
4,15,0.5689
4,14,0.5679
4,13,0.5664
4,12,0.5541
4,11,0.516
4,10,0.3894
4,9,0.1527
4,8,0.026
4,7,0.01
4,6,0.0409
4,5,0.0162
4,4,0.0099
3,32,0.5701
3,31,0.5701
3,30,0.5701
3,29,0.5701
3,28,0.5701
3,27,0.5701
3,26,0.5701
3,25,0.5701
3,24,0.5701
3,23,0.5701
3,22,0.5701
3,21,0.5701
3,20,0.57
3,19,0.5701
3,18,0.5702
3,17,0.5702
3,16,0.5698
3,15,0.5695
3,14,0.5689
3,13,0.5679
3,12,0.5664
3,11,0.5541
3,10,0.5159
3,9,0.3895
3,8,0.1527
3,7,0.0258
3,6,0.01
3,5,0.041
3,4,0.0164
2,32,0.5701
2,31,0.5701
2,30,0.5701
2,29,0.5701
2,28,0.5701
2,27,0.5701
2,26,0.5701
2,25,0.5701
2,24,0.5701
2,23,0.5701
2,22,0.5701
2,21,0.5701
2,20,0.5701
2,19,0.57
2,18,0.5702
2,17,0.5701
2,16,0.57
2,15,0.5694
2,14,0.5699
2,13,0.5686
2,12,0.5678
2,11,0.5638
2,10,0.5493
2,9,0.4961
2,8,0.3256
2,7,0.0822
2,6,0.0132
2,5,0.0154
2,4,0.0235
1,32,0.5701
1,31,0.5701
1,30,0.5701
1,29,0.5701
1,28,0.5701
1,27,0.5701
1,26,0.5701
1,25,0.5701
1,24,0.5701
1,23,0.5701
1,22,0.5701
1,21,0.5701
1,20,0.5701
1,19,0.57
1,18,0.5701
1,17,0.5701
1,16,0.5703
1,15,0.5697
1,14,0.5696
1,13,0.5693
1,12,0.5681
1,11,0.5648
1,10,0.5562
1,9,0.5217
1,8,0.3991
1,7,0.1263
1,6,0.0256
1,5,0.0568
1,4,0.0856
